ID,Comment
  hwnngbo황보,"이 노래 처음 나왔을 때가 저 고1때였나, 친구네 집 아파트 옥상에서 들었는데, 고요한 밤에 이 노래 틀어놓고 있으니까 세상의 가장 높은 곳에 올라서 있는 느낌이라서 엄청 웅장했었어요 친구들도 다 소름돋는다면서. 이거 나중에 꼭 다시 한 번 더 높은곳에서 들어야겠다 생각했었어요.몇 년뒤에 배낭여행으로 네팔 안나푸르나 트레킹 하면서 고산병으로 숨도 힘들게 쉬고 두통도 달며 올라갔어요. 그리고 도착한 ABC(베이스캠프)에서 새벽에 일어나 산 봉우리들을 마주보고 섰을 때 이 노래를 딱 틀었죠. 일출이 오면서 구름은 걷히고, 이어폰으로 내 귀에 노래가 흘러나오고, 천천히 주변을 둘러보는데,, 진짜 오감이 살아숨쉬는 느낌 받았었어요. 지금 이 순간은 내가 이 세상의 정복자다 이런 느낌 딱,,,"
  •놀라면우는고양이,많은 노래들을 들으며 눈물이 끊이지 않은적은 정말 많았지만 방금 이 노래를 처음 들었을때처럼 소름이 끊이지 않은적은 진짜 처음임. 노래로 최면을 건건지 진짜 내가 저 무대에 서있는것처럼 가슴에서 웅장함을 느끼고 저 사람에게 이입을해서 무대를 즐기는듯한 느낌이 들었음. 이걸 쓰는 와중에도 온몸에 소름이 가시질 않음.
  허서형,진짜 가슴이 웅장해진다. 저정도 떼창을 무대에서 들을 거 생각하면 진짜 소름돋는다.
  현현,진짜 함성소리 섞은거로 리믹스 멜론에 만들어줘야함
  nostalgia,정시 원서접수하고 한참 긴장되고 힘들때원하던 대학 합격 문자 통보 받고마침 지나던 핸드폰 가게에서 이 노래가 흘러나오더라..가만히 멈춰서서 노래듣는데 어찌나 황홀하던지나도 모르게 눈물이 나왔었지..추억이네 이젠
  강선희,대단해!!40대에 저런 열정과 에너지가 넘치는 멋진 콜드플레이!!
  by_window,Viva La Vida는 아무리 들어도 소름돋고 경이롭다..진짜..
  손주훈,어쩌다 듣데 된 노래인데 콜드플레이 노래도 굉장히 중독성있네요. 노래하시는 분도 멋있고 드럼치시는 분도 멋있네여 ㅎ다른 노래들도 들어봐야겠네요~
  유지민,내한 때 생각난다... 8시 정각에 콘서트 시작 안하니까 사람들 한명 한명 비바라비다 부르기 시작하고 비바라비다 부를 때도 떼창 진짜 소름 돋았고 콘서트 끝나고도 다들 떼창하고 경기장 나와서도 다 떼창하고 지하철역에서도 다 떼창하고
  Pace_7,도입부만 들어도 가슴이 뛰는 명곡
  Romi JM L,최고의 밴드마약도 안하며 가치관이 건전한이 밴드를 사랑합니다 
  호수,웅장해진다….다시 이런공연을 보는 날이 오기를 제발~~~
  Hs C,"진짜  저  콘서트안에서 웅장한 음악 악기소리를 듣고많은  관객들과 호흡하면서  즐기던날이이렇게  슬프게 보이는건 처음이네요,  진짜 엄청 신나는 문화인데"
  패닝,명곡은 지금도 멈추지 않는다
  박예진,1:51 왕관을 내려놓는  퍼포먼스 진짜 지렸다
  icebear,시대가 변해도 영원한 명곡
  동준,제목만 보고 어떤 노래인지 몰랐는데 영상 틀어서 들어보니 아! 이노래였구나 할정도로 유명한 곡이죠 ㅎㅎ 콜드플레이 정말 너무 멋있고 노래도 너무 신나고 행복해지게 만들어주시는것 같아요 너무 잘 듣고 가요 ㅠ 항상 응원합니다 ㅎㅎ
  eunseo08 joe,콜드플레이의 콘서트 영상을 보니 가슴이 뛰네요. 다시 내한해줬으면 좋겠습니다. 이 노래는 다시 들어도 명곡인것같아요
  가사번역은아리송,진짜 천잰가..? 가사는 절망인데 멜로디가 희망와.. . 적절하게 믹스매치한게 이리 잘 어울릴수가세기의 곡이다
  아루스_레이,하…이 웅장한 비트 사운드와 크고 우람하고 아름다운 스타디움…거기에 관중들의 환호성까지…이래서 내가 이걸 못끊지..
  The Chef,진짜 저런 슈퍼스타가 왜 우울증에 걸리는지 알겠다...화면으로만 봐도 엄청 벅차오르는데저 무대에서의 현장감은 어떤 것과도 비교가 안된당무대에서 내려와 집에 가는 길의 공허함은 견디기 힘들 듯...
  토끼웅냠냠,이렇게 신나는데 그 감정을 조절하고 저렇게 노래를 부른다는게 대단하다
  My friend DADA,진짜 가슴까지 뻥 뚫리는 기분 너무 멋있음
  Hyun,쿠플 콜드플레이 콘서트 보고 뽕차서 다시 보러옴 ㅠㅠ 이 무대 직접 느껴보고 싶다 진짜...
  jinda O,가사 미쳤다.이로써 콜플은 진정한 왕이 되었다.
  cherish 01,이 노래 가사는 왕을 나타내는게 아니라 ㄹㅇ 청춘을 노래하는 느낌임 누구에게나 청춘은 빛났고 화려했으니까할머니 할아버지가 되어서 지금들의 청춘들을 보면서 예전을 떠올리는거같음
  이승규,박자 단한번도 안틀리고 북치는 대머리 아저씨 넘 사랑스럽다
  jaejin,와 진짜 너무 멋있어서 들으면서 공부하려다가 때려치고 보면서 듣는중...ㅋㅋㅋ진짜 너무 좋고
  박민우,가사가 너무좋네요.몰락한 왕과 옛 왕국의 영광 그리고 혁명후반부에 워어~하는 부분은 마치 왕궁을 둘러싸고 부패한 왕을 규탄하고 혁명을 부르짖는 성난군중들을 표현하는 느낌
  Danny Ocean,"10년도 넘게 전에 딱 이 앨범 나왔을 때 오사카에서 라이브로 들은 팬 입장에서 말하면, 이 곡이 콜드플레이를 스페셜원으로 올려놨지. 그 이전까지 콜플은 라됴헤드와 유투 사이에서 헤맨다는 소리를 들었었음. 브릿 팝 전체가 그랬다. 그러다 라이브를 직격으로 한 4집을 만들면서 자기가 세계최강이 됐다는 자신감을 장착하고 무대에 나옴. 콜플이 마이클 잭슨에 영감을 받았다는 얘기도 그때 나옴. 여기서부터 그들은 clocks 같은 치트키로 공연을 시작할 필요가 없었음. 이게 바로 그 순간이다 난 그 순간을 목격했다. 미국 대통령이 부럽지 않은 그 어마어마한 한 남자의 확신을 그 무대에서 지켜봤다. 그 공연에 배철수 아저씨도 있었음"
  보니대니,오늘도 내 심장을 뛰게하는 노래. 감사합니다.
  띵,개인적인 사정으로 인해 요새 우울한 기분과 바닥친 자존감때문에 힘들어하고 있었는데 이 노래를 들으면서 한결 자존감에 생기가 불어든 것 같습니다! 감사해요
  정인,무대가 너무 간절한 상태인데 이 영상만 보면 뭔가 벅차다 처음 이 영상을 봤을 땐 부러웠는데 이제는 부러움을 넘어서서 내가 과연 무대를 섰을 때 저런 음악을 할 수 있을까 싶어졌다 뭔가 다 내 자신이 못미덥고 노력으로 이뤄낸 저 무대를 하는 콜드 플레이가 너무나도 대단하고 존경스럽다 저런 무대를 해볼 수 있을까
  최대현,이 노래를 라이브로 듣게 되다니 정말 가슴이 웅장해 지는듯 합니다... 예전부터 지금까지 잘 듣고 있네요... 이런 좋은 노래 내주셔서 너무 감사합니다!!
  코알라,"음식은몰라도 밴드는 영국이확실함  비틀즈,퀸,오아시스,뮤즈,라디오헤드,콜드플레이 전세계를 뒤흔들어버림"
  미숙TV - 미숙하지 않은 중년건강채널,신나는 음악! 관객의 함성이 그리워 지네요. 코로나가 지나면  멋진 무대!  다시 볼수 있겠죠!
  집정관,"이 영상 보고나서 영화 번역에 황석희 써있으면 무조건 믿고 보게됨콜드플레이도 좋고,,, 무대도 좋고,,, 음악도 좋고,,, 번역도 좋고,,, 다 좋아,,, ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ혼자 다해라! 흥해라!"
  에밀리아 땅,언제나 심장을 뛰게만드는 *노래*.
  시온 김,와~~~~~~~~~~~~~!! 소리질러~~~~~~~~~~~~~~! ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 진짜 넘넘 감동이에요 ㅠㅠㅠㅠ 이렇게 영광스러운 무대 볼 수 있게 해주셔서 감사하고 자막까지 달아주셔서 감사합니다 흑흑흐긓그 흑흐긓 ㅠㅠㅠㅠㅠ 외쳐 갓드플레이~!~!~~!~!~!~!~~!~
  열어가 닫고 닫어가 열어,이게 2008년 노래라니 몇십번 들어도 질리지가 않음웅장한 비트 사운드랑 관중의 환호성까지ㅠ가슴이벅참
  승승,개인적으로 이런 명곡은 진짜 원곡자가 불렀을때가 가장 지리는듯 얼마전 유튭에서 슈퍼밴드 무대하고는 스케일을 떠나서 곡의 주인은 나다 하는 느낌이 강하다..아무리 좋은 구성과 편곡을 들이 밀어도 그 곡의 주인은 원곡자여라..
  냠냠냠,멜론에서 우연히 듣고 유튜브로도 듣고 싶어서 들었는데 확실히 이 노래는 공연으로 들어야 제 맛이네..
  Jiyoung Suh,다른데서 본 가사해석보다 훨씬 뜻이 잘 통하고 와닿네요 역시.
  ᄋᄋ,3:14 이때가 진짜 감동 최대치다….
  Klay Thompson,이건 진짜 주기적으로 듣는노래 가슴이 웅자해짐
  킈킈킈,코로나가 빠르게 종식되고 모든사람들이 행복하고 활기를찾앗으면 좋겟다 콘서트에서 사람들이 환호하는 날이 다시돌아왓으면 좋겟네요 대한민국 국민분들 파이팅.!
  석입,번역은 영어 실력보다는 한글 실력이 더 중요한 것 같기도 하다.. 시적인 아름다운 가사에 가슴 벅차는 멜로디에 자꾸 온몸이 찌릿찌릿하네
  꾸엑,이노래만 들으면 가슴이 벅차오르는데 저기 콘서트가면 그냥 정줄놓고 가수랑 다같이 미쳐서 즐길듯3:14 최애부분
  김보현,진짜 저런 공연장에서 노래하면 그 순간만은 왕처럼 느껴질 듯..부럽다
  빙점,음악은 비루할지도 모르는 우리의 삶을 영화로 만들어줍니다.
  IjIiytljlitl,Coldplay 의 Viva La Vida 공연들중에서 가장 연출이 잘 된 공연이다. 북치는 아재의 혼줄 놓은 비트는 듣는 사람의 영혼을 빨아들인다.
  ㅋㅋ,와 진짜 띵곡 인정...
  아에이,진짜 대머리 아저씨 대단한게 머리는 다 놓쳤으면서 박자는 안놓쳐
  D H,"I used to rule the worldSeas would rise when I gave the wordNow in the morning, I sleep aloneSweep the streets I used to ownI used to roll the diceFeel the fear in my enemy's eyesListen as the crowd would singNow the old king is dead! Long live the king!One minute I held the keyNext the walls were closed on meAnd I discovered that my castles standUpon pillars of salt and pillars of sandI hear Jerusalem bells are ringingRoman Cavalry choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainOnce you go there was never, never a honest wordAnd that was when I ruled the worldIt was a wicked and wild windBlew down the doors to let me inShattered windows and the sound of drumsPeople couldn't believe what I'd becomeRevolutionaries waitFor my head on a silver plateJust a puppet on a lonely stringOh, who would ever want to be king?I hear Jerusalem bells are ringingRoman Calvary choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the worldOh, oh, oh, oh, ohI hear Jerusalem bells are ringingRoman Calvary choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the world"
  서영,ㄹㅇ 노래 들으면서 가사까지 같이 읽으면 영화 보는 것처럼 가슴이 웅장해짐 가사가 또 스토리가 있어서 그 장면을 저절로 상상하면서 듣게 됨
  만병초,이 노랜 언제나 들어도 좋다 ㅎㅎ
  음악하는황지원확인용,멋진 곡 잘 들었습니다
  hye sung lee,이 노래는  무슨일이 해결되고 들으면 용기를 준다.
  조정우,"내가 제일 좋아하는 밴드인 콜드플레이.. 빨리 시국 끝나서 콜드플레이 콘서트 보러 가고싶다,,"
  Oscar Lovcolple,들을때마다 소름돋는..콜드플레이가 있어서 행복!
  준,하 미치겠다 처음 들었을때 아무리 좋다해도 모르겠었는데 이제는 너무 좋음 ㅠㅠㅠ
  John,노래 미쳤네요 방구석에서 느끼는 광활함과 자유로움
  킹승,와 진짜 가슴이 웅장해진다 전역할때 이 노래 들으면서 나가야겠다
  kim상희,여러라이브영상중 이게 진짜 짱인듯무대며 가수며 관객이며 가사에 대한 해석이며
  수건돌리기,진짜 너무 좋다
  anyeone,아 다 좋지만 첫부분부터 1분 30초 정도까지 모든 제스처의 유기적인 흐름? 너무 좋음… 하나도 빠짐없이 주옥같다…
  Soeon Park,진짜ㅜ 콘서트 기 빨려서 웬만한건 별 생각 없는데 이 노래만은 가서 목 터져라 부르고싶다 .. 공연도 너무 못가니까 가고싶고
  Cho zol,"I used to rule the world Seas would rise when I gave the word Now in the morning, I sleep alone Sweep the streets I used to own I used to roll the dice Feel the fear in my enemy's eyes Listen as the crowd would sing Now the old king is dead! Long live the king! One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand I hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain Once you go there was never, never a honest word And that was when I ruled the world It was a wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldn't believe what I'd become Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh, who would ever want to be king? I hear Jerusalem bells are ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world Oh, oh, oh, oh, oh I hear Jerusalem bells are ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world"
  노빠꾸,"I used to rule the worldSeas would rise when I gave the wordNow in the morning, I sleep aloneSweep the streets I used to ownI used to roll the diceFeel the fear in my enemy's eyesListen as the crowd would singNow the old king is dead! Long live the king!One minute I held the keyNext the walls were closed on meAnd I discovered that my castles standUpon pillars of salt and pillars of sandI hear Jerusalem bells are ringingRoman Cavalry choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainOnce you go there was never, never a honest wordAnd that was when I ruled the worldIt was a wicked and wild windBlew down the doors to let me inShattered windows and the sound of drumsPeople couldn't believe what I'd becomeRevolutionaries waitFor my head on a silver plateJust a puppet on a lonely stringOh, who would ever want to be king?I hear Jerusalem bells are ringingRoman Calvary choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the worldOh, oh, oh, oh, ohI hear Jerusalem bells are ringingRoman Calvary choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the world"
  요,공부하다가 생각나서 듣고있는데 진짜 최고의선택 너무좋아요 ㅠㅠㅠ
  한만승,이런노래는 이세상에는 꼭 존재해야하는 노래!!!
  내새끼귀여웡,가사가 진짜 지린다
  체리한체리,이 노래는 음원으로 들어도 좋지만 역시 이 영상이 최고인 것 같다 영상을 보며 느끼는 심장의 두근거림과 웅장함은 음원과 비교도 할 수 없어
  심심한데스,콜드플레이가 얼마다 대단한 분들인지 모르고 그냥 이름만 알다가 엄청난 분들인걸 알게된 계기입니다 ㅠㅠㅠㅠ
  david Jung,"이유 모를 전율, 콜드플레이 밴드 노래들은 다 좋지만 콘서트 라이브 영상과 함께 들으시면 더 좋답니다."
  π,가사가 시편 느낌도 나고 프랑스혁명 생각도 나고 인생만세란 뜻이지만 인생무상 느낌도 나고 매력있네
  샤샤,진짜 코로나가 언젠가 잠잠해지면 꼭 콜드플레이 내한 갈 수 있게 해주세요 ㅜㅜㅜ....
  joojinmom,"예전  베를린 장벽 허물때   스콜피온스가 부른 ""윈드어브체인지""같은 그런  역사를  어우르는 음악같네요정말 코로나 종식되는날전세계  떼창 했음 좋겠어요"
  민서,와 미쳤다 작년 9월에 축제에서 어떤 학생이 바이올린으로 연주한 개띵곡 도입부가 며칠동안 귀에서 계속 맴돌아서 그 노래가 뭔지 몇날몇일을 찾았었는데 반년이 지난 지금에서야 샤워하면서 clocks 듣다가 자동재생으로 비바라비다로 넘어갔는데 들어보니까 그 노래가 콜드플레이 비바라비다였는지 알게 됐네 온몸에 소름 돋는다 진짜ㅠㅠㅠㅠㅠㅠㅠ 눈물난다 증말 ..
  CHA BORI,1:03 이 분 열정이 느껴져서 너무 좋다.
  완두콩공주,콜드플레이 공연은 죽기 전에 꼭 가보고 싶은 공연이예요 영상으로만 봐도 이렇게 벅차오르는데 직접 보면 어떨지 ㅜㅜㅜ 내한공연 또 와줬으면 좋겠네요
  신정철,A song that leads me when I'm tired and tired.Still in November 2021A song that causes people all over the world!
  하치,고음이 없는데 진짜 노래가 시원하다
  불기분방,몇년이 지나도 지겹지도 않고 명곡임게다가 눈물남 설마했던 암울기가 올줄은 생각도 못함
  K Yujin,비트자체가 심장을 울리는 명곡
  류혜림,"Viva La Vida 영어 가사I used to rule the world Seas would rise when I gave the world Now in the morning, I sleep alone Sweep the streets I used to own I used to roll the dice Feel the fear in my enemy's eyes Listen as the crowd would sing Now the old king is dead! Long live the king! One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand I hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain Once you go there was never, never a honest world And that was when I ruled the world It was a wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldn't believe what I'd become Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh, who would ever want to be king? I hear Jerusalem bells are ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest world But that was when I ruled the world Oh, oh, oh, oh, oh I hear Jerusalem bells are ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest world But that was when I ruled the world"
  00프로,듣고있는 모두가 승자 입니다. 인파속에서 나를 증명 할수있는 목소리!!  오오오오오~~
  kwak jiu,내가 만든노래가 저렇게 많은사람들에게 희망을 주고 저사람들이 내노래를 좋아해주고 그게 시너지가 되어 하나의 웅장한 무대가 만들어 진다생각하니까 진짜 대박이겠다
  jun hwi jeong,알람덕분에 제 최애곡을 여러번들어도 좋네요ㅎㅎ 여러분도 노래로 힐링하시고 행복하세요!!
  h,"I used to rule the worldSeas would rise when I gave the wordNow in the morning I sleep aloneSweep the streets I used to ownI used to roll the diceFeel the fear in my enemy's eyesListen as the crowd would sing""Now the old king is dead! Long live the king!""One minute I held the keyNext the walls were closed on meAnd I discovered that my castles standUpon pillars of salt and pillars of sandI hear Jerusalem bells a ringingRoman Cavalry choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainOnce you go there was neverNever an honest wordAnd that was when I ruled the worldIt was the wicked and wild windBlew down the doors to let me inShattered windows and the sound of drumsPeople couldn't believe what I'd becomeRevolutionaries waitFor my head on a silver plateJust a puppet on a lonely stringOh who would ever want to be king?I hear Jerusalem bells a ringingRoman Cavalry choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the worldI hear Jerusalem bells a ringingRoman Cavalry choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the world"
  clo ud,"I used to rule the world Seas would rise when I gave the word Now in the morning, I sleep alone Sweep the streets I used to own I used to roll the dice Feel the fear in my enemy's eyes Listen as the crowd would sing Now the old king is dead! Long live the king! One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand I hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain Once you go there was never, never a honest word And that was when I ruled the world It was a wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldn't believe what I'd become Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh, who would ever want to be king? I hear Jerusalem bells are ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world Oh, oh, oh, oh, oh I hear Jerusalem bells are ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world"
  체스타프랑,이것이야 말로 세기의 명곡
  Evelyn Kim,이렇게 콘서트에서 같이 노래 부르면서 즐길 날이 올까 ㅠㅠ 주기적으로 콘서트 다니며 스트레스 풀었는데 그마저도 못하니 너무 지침 ㅠㅠ...가서 기 쫙 받고 아드레날린 올려야 하는데
  아야오이,3:13 이 부분은 언제들어도 가슴을 웅장하게 해준다
  뿌뿌,이 한곡 때문에 콘서트 가고 싶어졌다.
  사생팬빡공시대,전주만 들어도 웅장하거 지리는 노래 ㅋㅋ
  짱이,이 영상은 진짜 최고다 32살에 본게 아쉽다 느낄정도로....이제부터 매일 1일1회 봐야지 ㅎㅎ 영상 올려주셔서 너무 감사합니다 그리고 모두들 꿈을 이루시길 행복합시다
  동동앵카,역시 콜드플레이 짱입니다.^~^
  Jisoo Lee,"I used to rule the worldSeas would rise when I gave the wordNow in the morning, I sleep aloneSweep the streets I used to ownI used to roll the diceFeel the fear in my enemy's eyesListen as the crowd would singNow the old king is dead! Long live the king!One minute I held the keyNext the walls were closed on meAnd I discovered that my castles standUpon pillars of salt and pillars of sandI hear Jerusalem bells are ringingRoman Cavalry choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainOnce you go there was never, never a honest wordAnd that was when I ruled the worldIt was a wicked and wild windBlew down the doors to let me inShattered windows and the sound of drumsPeople couldn't believe what I'd becomeRevolutionaries waitFor my head on a silver plateJust a puppet on a lonely stringOh, who would ever want to be king?I hear Jerusalem bells are ringingRoman Calvary choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the worldOh, oh, oh, oh, ohI hear Jerusalem bells are ringingRoman Calvary choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the world"
  얄리알리알리송,아 나도 콜드플레이 콘서트 가보고싶다ㅜㅜㅜㅜ
  초딩방송국,이노래 정말 최고다!
  클라랜드 ClaLand [Clarinet Music],여러번 들어도 좋군요 ♡
  Myung Ja Kim,I keep watching and listening to music!  Incredible!!!!
  Zenith Astra,팝에 꽂히는 경우는 거의 없는데이 곡만큼은 
  찰비빔면,진짜 벅차오름이란게 이런거지 ㅠㅠㅠ 그냥 이 영상속 모든게 행복해진다...노래를 듣고 무대는 보는 관객도 노래를 부르고 같이 뛰는 콜드플레이도 열심히 북치는 아저씨도모두 너무 행복하고 즐거워 보임. 에너지가 영상 너머 나한테까지 전해진다..크으으
  젤스 JS,개인적으로 콜드플레이 히트곡들중에선 이 곡이 제일 좋음
  햄,"아 노래 너무 좋아,, 어쩜 들어도 들어도 질리지가 안하..?"
  오현철,아무리 음치여도 모이면 아름다운 선율이 만들어진다
  Sugar Premium,저렇게 꽉찬 스타디움에서 다시 뛸 수 있는날이 오기만을 기다린다... 스포츠든 노래든 게임이든 같이 다같이 모여서 즐기고 싶다 진짜
  정 한,"I used to rule the worldSeas would rise when I gave the wordNow in the morning I sleep aloneSweep the streets I used to ownI used to roll the diceFeel the fear in my enemy's eyesListen as the crowd would sing""Now the old king is dead! Long live the king!""One minute I held the keyNext the walls were closed on meAnd I discovered that my castles standUpon pillars of salt and pillars of sandI hear Jerusalem bells a ringingRoman Cavalry choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainOnce you go there was neverNever an honest wordAnd that was when I ruled the worldIt was the wicked and wild windBlew down the doors to let me inShattered windows and the sound of drumsPeople couldn't believe what I'd becomeRevolutionaries waitFor my head on a silver plateJust a puppet on a lonely stringOh who would ever want to be king?I hear Jerusalem bells a ringingRoman Cavalry choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the worldI hear Jerusalem bells a ringingRoman Cavalry choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the world"
  룰루랄라,"I used to rule the world Seas would rise when I gave the word Now in the morning, I sleep alone Sweep the streets I used to own I used to roll the dice Feel the fear in my enemy's eyes Listen as the crowd would sing Now the old king is dead! Long live the king! One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand I hear Jerusalem bells are ringing Roman Cavalry choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain Once you go there was never, never a honest word And that was when I ruled the world It was a wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldn't believe what I'd become Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh, who would ever want to be king? I hear Jerusalem bells are ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world Oh, oh, oh, oh, oh I hear Jerusalem bells are ringing Roman Calvary choirs are singing Be my mirror, my sword and shield My missionaries in a foreign field For some reason I can't explain I know Saint Peter won't call my name Never an honest word But that was when I ruled the world"
  twentyeight,노래 개좋다
